timestamp,user,src_ip,geo,device_id,auth_system,event_type,success,is_new_device,off_hours
2026-01-06 16:19:29.894934,user_001,10.58.136.197,SG,dev_user_001_1,okta,login,True,False,False
2026-01-06 18:40:11.894934,user_001,10.194.244.2,GB,dev_user_001_1,okta,login,True,False,False
2026-01-06 20:12:01.894934,user_001,10.91.170.201,DE,dev_user_001_1,ad,login,True,False,True
2026-01-06 22:07:49.894934,user_001,10.169.36.132,IN,dev_user_001_1,okta,login,True,False,True
2026-01-07 00:36:03.894934,user_001,10.183.107.175,IN,dev_user_001_1,ad,login,True,False,True
2026-01-07 08:46:33.894934,user_001,10.120.206.31,CA,dev_user_001_1,vpn,login,True,False,False
2026-01-07 09:08:25.894934,user_001,10.64.65.169,DE,dev_user_001_1,ad,login,True,False,False
2026-01-07 09:14:24.894934,user_001,10.23.116.198,GB,dev_user_001_1,vpn,login,True,False,False
2026-01-07 10:56:17.894934,user_001,10.226.50.13,SG,dev_user_001_1,ad,login,False,False,False
2026-01-07 16:16:17.894934,user_001,10.111.119.130,CA,dev_user_001_1,vpn,login,True,True,False
2026-01-07 17:38:49.894934,user_001,10.31.206.187,GB,dev_user_001_1,vpn,login,True,False,False
2026-01-07 20:01:35.894934,user_001,10.217.112.46,AU,dev_user_001_1,ad,login,True,False,True
2026-01-07 20:09:26.894934,user_001,10.79.139.73,CA,dev_user_001_1,vpn,login,True,False,True
2026-01-07 20:27:57.894934,user_001,10.195.19.220,DE,dev_user_001_1,vpn,login,True,False,True
2026-01-08 01:16:50.894934,user_001,10.153.158.171,DE,dev_user_001_1,okta,login,True,False,True
2026-01-08 03:31:10.894934,user_001,10.242.124.201,DE,dev_user_001_1,okta,login,True,False,True
2026-01-08 05:16:22.894934,user_001,10.252.46.194,US,dev_user_001_1,vpn,login,True,False,True
2026-01-08 11:02:51.894934,user_001,10.232.1.245,SG,dev_user_001_1,ad,login,False,False,False
2026-01-08 11:29:05.894934,user_001,10.216.174.72,IN,dev_user_001_1,vpn,login,True,False,False
2026-01-08 12:02:07.894934,user_001,10.0.165.126,US,dev_user_001_1,vpn,login,True,False,False
2026-01-08 12:56:05.894934,user_001,10.194.1.253,DE,dev_user_001_1,okta,login,True,False,False
2026-01-08 14:24:25.894934,user_001,10.43.145.132,SG,dev_user_001_1,ad,login,True,False,False
2026-01-08 17:01:01.894934,user_001,10.54.152.216,SG,dev_user_001_1,ad,login,True,False,False
2026-01-08 21:14:02.894934,user_001,10.204.168.72,AU,dev_user_001_1,vpn,login,True,False,True
2026-01-09 02:00:15.894934,user_001,10.136.36.156,SG,dev_user_001_1,vpn,login,True,False,True
2026-01-09 08:20:26.894934,user_001,10.196.78.181,IN,dev_user_001_1,vpn,login,True,False,False
2026-01-09 09:23:28.894934,user_001,10.158.115.207,IN,dev_user_001_1,vpn,login,True,False,False
2026-01-09 09:49:52.894934,user_001,10.85.208.125,DE,dev_user_001_1,vpn,login,True,False,False
2026-01-09 12:59:40.894934,user_001,10.141.248.161,IN,dev_user_001_1,okta,login,True,False,False
2026-01-09 13:00:26.894934,user_001,10.102.10.160,IN,dev_user_001_1,vpn,login,True,False,False
2026-01-09 13:33:54.894934,user_001,10.62.233.35,AU,dev_user_001_1,okta,login,False,False,False
2026-01-09 16:45:24.894934,user_001,10.194.167.55,DE,dev_user_001_1,okta,login,True,False,False
2026-01-09 17:52:18.894934,user_001,10.250.128.232,AU,dev_user_001_1,vpn,login,True,False,False
2026-01-09 18:18:12.894934,user_001,10.19.55.153,DE,dev_user_001_1,okta,login,True,False,False
2026-01-09 21:34:11.894934,user_001,10.22.1.86,AU,dev_user_001_1,vpn,login,True,False,True
2026-01-10 00:12:18.894934,user_001,10.120.139.86,GB,dev_user_001_1,ad,login,True,False,True
2026-01-10 04:38:19.894934,user_001,10.207.0.78,GB,dev_user_001_1,vpn,login,True,False,True
2026-01-10 05:05:43.894934,user_001,10.4.153.239,SG,dev_user_001_1,vpn,login,True,False,True
2026-01-10 06:33:02.894934,user_001,10.122.29.62,CA,dev_user_001_1,vpn,login,True,False,True
2026-01-10 08:51:47.894934,user_001,10.205.137.17,IN,dev_user_001_1,ad,login,True,False,False
2026-01-10 10:50:33.894934,user_001,10.238.226.114,SG,dev_user_001_1,vpn,login,True,False,False
2026-01-10 14:53:08.894934,user_001,10.207.84.216,DE,dev_user_001_1,vpn,login,True,False,False
2026-01-10 18:38:13.894934,user_001,10.35.125.95,GB,dev_user_001_1,vpn,login,True,False,False
2026-01-11 00:31:22.894934,user_001,10.75.220.33,US,dev_user_001_1,okta,login,False,False,True
2026-01-11 03:24:33.894934,user_001,10.142.215.65,AU,dev_user_001_1,vpn,login,True,False,True
2026-01-11 03:30:18.894934,user_001,10.138.112.176,GB,dev_user_001_1,vpn,login,True,False,True
2026-01-11 03:38:33.894934,user_001,10.49.183.217,GB,dev_user_001_1,ad,login,True,False,True
2026-01-11 03:42:02.894934,user_001,10.142.232.163,AU,dev_user_001_1,okta,login,True,False,True
2026-01-11 04:49:21.894934,user_001,10.253.204.63,IN,dev_user_001_1,ad,login,False,False,True
2026-01-11 08:15:42.894934,user_001,10.67.153.118,GB,dev_user_001_1,vpn,login,True,False,False
2026-01-11 15:01:46.894934,user_001,10.112.249.57,GB,dev_user_001_1,okta,login,True,False,False
2026-01-11 15:05:20.894934,user_001,10.161.133.53,SG,dev_user_001_1,ad,login,True,False,False
2026-01-11 15:56:37.894934,user_001,10.32.197.98,CA,dev_user_001_1,okta,login,False,False,False
2026-01-11 16:13:43.894934,user_001,10.108.102.183,GB,dev_user_001_1,okta,login,True,False,False
2026-01-11 18:32:00.894934,user_001,10.181.216.106,DE,dev_user_001_1,ad,login,True,False,False
2026-01-11 19:59:30.894934,user_001,10.0.100.94,DE,dev_user_001_1,vpn,login,True,False,True
2026-01-11 21:40:29.894934,user_001,10.218.4.29,US,dev_user_001_1,ad,login,True,False,True
2026-01-11 21:53:22.894934,user_001,10.218.228.230,IN,dev_user_001_1,ad,login,True,False,True
2026-01-12 02:47:52.894934,user_001,10.63.193.21,CA,dev_user_001_1,okta,login,True,False,True
2026-01-12 03:03:13.894934,user_001,10.179.156.211,AU,dev_user_001_1,vpn,login,True,False,True
2026-01-12 07:22:27.894934,user_001,10.37.233.107,SG,dev_user_001_1,ad,login,True,False,False
2026-01-12 14:23:32.894934,user_001,10.202.234.37,GB,dev_user_001_1,vpn,login,True,False,False
2026-01-12 17:21:21.894934,user_001,10.204.169.241,US,dev_user_001_1,vpn,login,True,False,False
2026-01-12 17:56:36.894934,user_001,10.59.197.231,CA,dev_user_001_1,vpn,login,True,False,False
2026-01-12 19:44:08.894934,user_001,10.231.61.64,IN,dev_user_001_1,vpn,login,True,False,True
2026-01-12 23:40:57.894934,user_001,10.80.29.246,CA,dev_user_001_1,vpn,login,True,False,True
2026-01-13 01:11:07.894934,user_001,10.229.71.109,IN,dev_user_001_1,okta,login,True,False,True
2026-01-13 01:58:09.894934,user_001,10.134.219.230,CA,dev_user_001_1,okta,login,True,False,True
2026-01-13 02:05:52.894934,user_001,10.26.179.58,SG,dev_user_001_1,vpn,login,True,False,True
2026-01-13 02:54:23.894934,user_001,10.31.160.15,US,dev_user_001_1,ad,login,True,False,True
2026-01-13 03:01:40.894934,user_001,10.238.212.16,IN,dev_user_001_1,okta,login,False,False,True
2026-01-13 03:42:23.894934,user_001,10.214.112.115,CA,dev_user_001_1,okta,login,True,False,True
2026-01-13 06:19:19.894934,user_001,10.117.112.2,US,dev_user_001_1,ad,login,True,False,True
2026-01-13 06:27:54.894934,user_001,10.65.98.108,SG,dev_user_001_1,okta,login,True,False,True
2026-01-13 06:51:36.894934,user_001,10.249.79.49,GB,dev_user_001_1,vpn,login,True,False,True
2026-01-13 08:03:31.894934,user_001,10.208.79.237,IN,dev_user_001_1,vpn,login,True,False,False
2026-01-13 08:57:52.894934,user_001,10.51.37.138,IN,dev_user_001_1,ad,login,True,False,False
2026-01-13 09:22:18.894934,user_001,10.13.42.165,DE,dev_user_001_1,vpn,login,True,False,False
2026-01-06 13:48:24.894934,user_002,10.141.74.253,IN,dev_user_002_2,ad,login,True,False,False
2026-01-06 15:43:04.894934,user_002,10.238.147.174,CA,dev_user_002_1,vpn,login,True,False,False
